商品ID,商品名稱,作者名稱,分類,淨銷量,總營收,訂單數,首次銷售日,最後銷售日,銷售月數,月均銷量
B0000074,【Money錢親子慶典套書】：《變身少年巴菲特 培養財富創造力》+《打造小小巴菲特 贏在起跑點》,陳重銘,紙本書,209.0,0.0,4,2023-03-23,2024-02-20,12,17.4
EB0000087,《生成式人工智慧 : AIGC的邏輯與應用》 電子版｜丁磊,丁磊,電子書,202.0,59923.0,84,2023-10-01,2026-01-01,28,7.2
B0000113,《新式型態學: 175張圖 x 22種多空K棒組合 x 8種獨創型態 股市新手一出手就賺》【限量親簽版】,莎拉(Sara Wang),紙本書,200.0,0.0,1,2024-08-29,2024-08-29,1,200.0
EB0000133,《人生重啟：移民美國跨越財富高牆，從普通人到一個有錢的普通人》電子版｜Mike,Mike,電子書,195.0,28746.0,1,2025-12-01,2025-12-01,1,195.0
EB0000057,存好股的智慧與勇氣,温國信,電子書,188.0,15788.0,81,2022-05-01,2025-12-01,44,4.3
B0000020,台北金融物語:內線國度,0,紙本書,181.0,55300.0,104,2011-06-07,2013-02-19,21,8.6
B0000025,房地產是一輩子的事,張金鶚,紙本書,181.0,39100.0,29,2013-01-21,2022-01-09,109,1.7
B0000024,抓住線圖 股民變股神,朱家泓,紙本書,170.0,40120.0,138,2012-03-06,2017-09-30,67,2.5
EB0000062,決勝股市關鍵16招,薛兆亨,電子書,165.0,19389.0,98,2022-01-01,2026-02-01,50,3.3
B0000032,看懂籌碼 股市賺大錢,陳家豐,紙本書,164.0,35767.0,65,2014-06-17,2017-09-30,40,4.1
EB0000104,《當媽是一種修行：焦慮的大人聽不見孩子心聲，做一個不那麼累的媽媽！》電子版｜易小宛,易小宛,電子書,158.0,25334.0,70,2024-03-01,2025-12-01,22,7.2
B0000030,抓住K線 獲利無限,朱家泓,紙本書,154.0,38286.0,130,2013-11-05,2017-07-11,45,3.4
EB0000128,《你不必有個夢想：人生的9堂課提醒你──慢一點，沒目標也能活得好》電子版｜提姆．明欽,提姆．明欽,電子書,153.0,27041.0,37,2025-06-01,2026-02-01,9,17.0
EB0000101,《豬力安親子理財教練: 學校沒教但孩子一定要學的9堂理財課》電子版｜豬力安,豬力安,電子書,147.0,40180.0,73,2024-01-01,2026-02-01,26,5.7
B0000054X,我用1檔ETF存自己的18％+股市淘金術10堂課,陳重銘,紙本書,134.0,302742.0,134,2019-06-18,2020-03-05,10,13.4
B0000082,(理財寶加購_$299)《鬼道致富》｜鬼手易生,鬼手易生,紙本書,128.0,38285.0,73,2023-07-04,2023-12-29,6,21.3
EB0000125,《賽道之外：從3A總裁到冠軍自釀啤酒師的破框人生》電子版｜陳雨德,陳雨德,電子書,124.0,22405.0,42,2025-03-01,2026-02-01,12,10.3
EB0000073,【上班族理財救星熱銷套書】：《小資致富術：用主題式ETF錢滾錢》+《上班族的ETF賺錢術》電子版｜陳重銘,陳重銘,電子書,118.0,35252.0,45,2023-05-01,2026-02-01,34,3.5
